Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power_W,Temp_Diff_K,Strain_Load,Type_encoded
302.0,310.9,1456,47.2,54,7196.676675039403,8.899999999999977,2548.8,1
297.0,308.3,1399,46.4,132,6797.736295935547,11.300000000000011,6124.8,1
301.0,311.6,1357,45.6,137,6479.974671000451,10.600000000000025,6247.2,1
298.9,309.8,1411,56.3,84,8318.864042877187,10.900000000000034,4729.2,0
297.1,308.5,1733,28.7,50,5208.456932362029,11.399999999999975,1435.0,0
298.3,308.9,1706,31.8,8,5681.130491045638,10.599999999999966,254.4,2
300.7,311.0,1263,52.3,104,6917.252952453613,10.300000000000011,5439.2,1
297.6,309.0,1413,40.2,51,5948.3543621599865,11.399999999999975,2050.2000000000003,2
303.9,313.2,1608,40.6,79,6836.608269035964,9.300000000000011,3207.4,1
297.3,308.6,1431,42.0,109,6293.866722201792,11.300000000000011,4578.0,2
298.9,310.1,1466,42.5,187,6524.564342730401,11.200000000000044,7947.5,0
297.9,308.6,1691,29.6,116,5241.600734857403,10.700000000000044,3433.6000000000004,0
299.2,310.7,1540,36.3,175,5854.04375069922,11.5,6352.499999999999,0
298.4,308.4,1515,40.1,179,6361.882203152011,10.0,7177.900000000001,0
300.4,309.8,1421,47.2,0,7023.679639581725,9.400000000000034,0.0,1
298.7,309.9,1617,33.0,203,5587.9508529401655,11.199999999999989,6699.0,0
297.7,308.7,1249,60.4,143,7900.016438325085,11.0,8637.199999999999,0
298.9,310.0,1564,33.8,183,5535.821358841598,11.100000000000025,6185.4,0
298.1,308.7,1568,32.9,10,5402.198951308912,10.599999999999966,329.0,0
304.1,313.2,1434,50.1,43,7523.423254963765,9.099999999999966,2154.3,0
302.5,311.1,1571,34.2,201,5626.403947020104,8.600000000000023,6874.200000000001,0
299.2,308.8,1908,21.3,104,4255.852735965022,9.600000000000025,2215.2000000000003,2
299.6,310.2,1468,48.0,9,7378.972824751706,10.599999999999966,432.0,0
301.0,312.2,1489,40.3,117,6283.886929538888,11.199999999999989,4715.099999999999,2
299.1,310.5,1389,61.4,64,8930.982427478135,11.399999999999975,3929.6,0
302.4,310.2,1351,45.1,168,6380.585151416381,7.800000000000011,7576.8,0
299.1,310.5,1532,36.6,62,5871.762333265467,11.399999999999975,2269.2000000000003,0
300.6,309.6,1726,30.0,147,5422.388920095983,9.0,4410.0,0
301.7,311.2,1589,37.9,75,6306.548284546782,9.5,2842.5,0
296.8,307.5,1347,54.8,43,7729.951556010757,10.699999999999989,2356.4,0
300.7,311.8,1486,47.3,19,7360.521203899621,11.100000000000025,898.6999999999999,0
299.6,311.0,1430,38.3,124,5735.396268148646,11.399999999999975,4749.2,0
297.1,308.3,1403,54.1,179,7948.470269018951,11.199999999999989,9683.9,0
300.7,310.6,1520,45.9,146,7306.087875188422,9.900000000000034,6701.4,0
298.9,308.2,1372,63.6,30,9137.762055937415,9.300000000000011,1908.0,1
298.7,309.8,1354,53.3,212,7557.43623142663,11.100000000000025,11299.6,0
299.7,309.1,1347,55.3,139,7800.480311083849,9.400000000000034,7686.7,0
300.7,309.5,1508,39.9,59,6300.903889745832,8.800000000000011,2354.1,0
303.0,312.8,1648,32.1,104,5539.758821634097,9.800000000000011,3338.4,1
300.4,311.7,1832,24.2,179,4642.687511377043,11.300000000000011,4331.8,1
302.0,311.1,1406,48.8,159,7185.115614074191,9.100000000000025,7759.2,1
298.3,308.1,1326,58.4,90,8109.33028485826,9.800000000000011,5256.0,0
