Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power_W,Temp_Diff_K,Strain_Load,Machine failure,UDI,Product ID,TWF,HDF,PWF,OSF,RNF
M,298.1,308.6,1551,42.8,0,6951.59056015735,10.5,0.0,0,1,S50000,0.0,0.0,0.0,0.0,0.0
L,298.2,308.7,1408,46.3,3,6826.722724152667,10.5,138.89999999999998,0,2,S50001,0.0,0.0,0.0,0.0,0.0
L,298.1,308.5,1498,49.4,5,7749.387542560967,10.399999999999975,247.0,0,3,S50002,0.0,0.0,0.0,0.0,0.0
L,298.2,308.6,1433,39.5,7,5927.504658915661,10.400000000000034,276.5,0,4,S50003,0.0,0.0,0.0,0.0,0.0
L,298.2,308.7,1408,40.0,9,5897.816608339238,10.5,360.0,0,5,S50004,0.0,0.0,0.0,0.0,0.0
M,298.1,308.6,1425,41.9,11,6252.554778807085,10.5,460.9,0,6,S50005,0.0,0.0,0.0,0.0,0.0
L,298.1,308.6,1558,42.4,14,6917.703247400628,10.5,593.6,0,7,S50006,0.0,0.0,0.0,0.0,0.0
L,298.1,308.6,1527,40.2,16,6428.264055922363,10.5,643.2,0,8,S50007,0.0,0.0,0.0,0.0,0.0
M,298.3,308.7,1667,28.6,18,4992.639989035923,10.399999999999975,514.8000000000001,0,9,S50008,0.0,0.0,0.0,0.0,0.0
M,298.5,309.0,1741,28.0,21,5104.878622573175,10.5,588.0,0,10,S50009,0.0,0.0,0.0,0.0,0.0
H,298.4,308.9,1782,23.9,24,4459.993426595286,10.5,573.5999999999999,0,11,S50010,0.0,0.0,0.0,0.0,0.0
H,298.6,309.1,1423,44.3,29,6601.41817101272,10.5,1284.6999999999998,0,12,S50011,0.0,0.0,0.0,0.0,0.0
M,298.6,309.1,1339,51.1,34,7165.22933257697,10.5,1737.4,0,13,S50012,0.0,0.0,0.0,0.0,0.0
M,298.6,309.2,1742,30.0,37,5472.65440255342,10.599999999999966,1110.0,0,14,S50013,0.0,0.0,0.0,0.0,0.0
L,298.6,309.2,2035,19.6,40,4176.852152702751,10.599999999999966,784.0,0,15,S50014,0.0,0.0,0.0,0.0,0.0
L,298.6,309.2,1542,48.4,42,7815.528539894543,10.599999999999966,2032.8,0,16,S50015,0.0,0.0,0.0,0.0,0.0
M,298.6,309.2,1311,46.6,44,6397.602111623327,10.599999999999966,2050.4,0,17,S50016,0.0,0.0,0.0,0.0,0.0
M,298.7,309.2,1410,45.6,47,6733.061375173645,10.5,2143.2000000000003,0,18,S50017,0.0,0.0,0.0,0.0,0.0
H,298.8,309.2,1306,54.5,50,7453.638010152023,10.399999999999975,2725.0,0,19,S50018,0.0,0.0,0.0,0.0,0.0
M,298.9,309.3,1632,32.5,55,5554.3358115467545,10.400000000000034,1787.5,0,20,S50019,0.0,0.0,0.0,0.0,0.0
H,298.9,309.3,1375,42.7,58,6148.358622463024,10.400000000000034,2476.6000000000004,0,21,S50020,0.0,0.0,0.0,0.0,0.0
L,298.8,309.3,1450,44.8,63,6802.595292573098,10.5,2822.4,0,22,S50021,0.0,0.0,0.0,0.0,0.0
M,298.9,309.3,1581,30.7,65,5082.751338316391,10.400000000000034,1995.5,0,23,S50022,0.0,0.0,0.0,0.0,0.0
L,299.0,309.4,1758,25.7,68,4731.3013681593,10.399999999999975,1747.6,0,24,S50023,0.0,0.0,0.0,0.0,0.0
M,299.0,309.4,1561,37.3,70,6097.339157768726,10.399999999999975,2611.0,0,25,S50024,0.0,0.0,0.0,0.0,0.0
L,299.0,309.5,1861,23.3,73,4540.784717670103,10.5,1700.9,0,26,S50025,0.0,0.0,0.0,0.0,0.0
L,299.1,309.5,1512,39.0,75,6175.114519896098,10.399999999999975,2925.0,0,27,S50026,0.0,0.0,0.0,0.0,0.0
H,299.1,309.4,1811,24.6,77,4665.327922433915,10.299999999999956,1894.2,0,28,S50027,0.0,0.0,0.0,0.0,0.0
L,299.1,309.4,1439,44.2,82,6660.574360679817,10.299999999999956,3624.4,0,29,S50028,0.0,0.0,0.0,0.0,0.0
L,299.0,309.4,1693,30.1,84,5336.445417069278,10.399999999999975,2528.4,0,30,S50029,0.0,0.0,0.0,0.0,0.0
M,299.1,309.5,1339,48.2,86,6758.592051471818,10.399999999999975,4145.2,0,31,S50030,0.0,0.0,0.0,0.0,0.0
L,299.0,309.4,1798,25.5,89,4801.296052481281,10.399999999999975,2269.5,0,32,S50031,0.0,0.0,0.0,0.0,0.0
L,299.0,309.4,1419,48.3,91,7177.251160464705,10.399999999999975,4395.3,0,33,S50032,0.0,0.0,0.0,0.0,0.0
L,298.9,309.3,1665,32.5,93,5666.647748912589,10.400000000000034,3022.5,0,34,S50033,0.0,0.0,0.0,0.0,0.0
M,298.8,309.1,1559,34.7,95,5665.056008634771,10.300000000000011,3296.5000000000005,0,35,S50034,0.0,0.0,0.0,0.0,0.0
M,298.8,309.2,1452,48.6,98,7389.779903480055,10.399999999999975,4762.8,0,36,S50035,0.0,0.0,0.0,0.0,0.0
M,298.9,309.2,1581,36.7,101,6076.122935381484,10.300000000000011,3706.7,0,37,S50036,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1439,39.2,104,5907.115722593864,10.300000000000011,4076.8,0,38,S50037,0.0,0.0,0.0,0.0,0.0
H,298.9,309.2,1379,50.7,106,7321.51309511755,10.300000000000011,5374.200000000001,0,39,S50038,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1350,52.5,111,7422.0126441058865,10.300000000000011,5827.5,0,40,S50039,0.0,0.0,0.0,0.0,0.0
